 TIME                    	QSENS_PEG_V1             	QSENS_PEG_V2             	QSENS_PEG_V3             	QSENS_PEG_V4             	QSENS_PEG_V5             	QSENS_PEG_V6             	QSENS_PEG_V7             	
  +1.0900000000000000E+02	  -1.2575825603990474E+02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.1000000000000000E+02	  -2.5565583663315377E+02	  -4.4924061222075252E+01	  -3.7821265281862729E+01	  -3.7718764968451403E+01	  -3.7717594632063232E+01	  -3.7717634775557023E+01	  -3.7717659849315382E+01	
  +1.1100000000000000E+02	  -2.1075055475809870E+02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.1200000000000000E+02	  -8.7125558215158912E+02	  -5.0874428557825826E+02	  -5.0535513790955594E+02	  -5.0529978255561622E+02	  -5.0529912027065330E+02	  -5.0529913970058647E+02	  -5.0529915253051547E+02	
  +1.1300000000000000E+02	  -1.2178341904590975E+03	  -7.7130258786006198E+02	  -7.6139599778617139E+02	  -7.6123817485414475E+02	  -7.6123629648410235E+02	  -7.6123635000617980E+02	  -7.6123638546987479E+02	
  +1.1400000000000000E+02	  -1.4482614192180861E+03	  -9.7029307172273718E+02	  -9.6109776192027834E+02	  -9.6094405104341467E+02	  -9.6094220763702310E+02	  -9.6094226333411109E+02	  -9.6094230001715755E+02	
  +1.1500000000000000E+02	  -1.5656223650647373E+03	  -1.0722811152433005E+03	  -1.0635084527854731E+03	  -1.0633549817217136E+03	  -1.0633531182408242E+03	  -1.0633531732025367E+03	  -1.0633532098645530E+03	
  +1.1600000000000000E+02	  -1.7181167438567927E+03	  -1.2141537782136033E+03	  -1.2056703645554867E+03	  -1.2055162746075059E+03	  -1.2055143825614005E+03	  -1.2055144384114767E+03	  -1.2055144758966835E+03	
  +1.1700000000000000E+02	  -1.8180700767721758E+03	  -1.3064809140966299E+03	  -1.2982044358333139E+03	  -1.2980497914257969E+03	  -1.2980478669354336E+03	  -1.2980479218957435E+03	  -1.2980479593098755E+03	
  +1.1800000000000000E+02	  -1.9033800770763346E+03	  -1.3856894551909470E+03	  -1.3775613504678620E+03	  -1.3774064699353910E+03	  -1.3774045174235343E+03	  -1.3774045724655875E+03	  -1.3774046102650434E+03	
